
Das;Das;one's father.

ist;ist;a follower of a distinctive practice, system, or philosophy, typically a political ideology or an artistic movement.

wunderschön;Wundersch\u00f6n;wunderschön

Fantasy;Fantasy;That which comes from one's imagination.

for;f\u00fcr;for

Award—Professional;Auszeichnung\u2014Professional;Award—Professional

in;in;A position of power or influence, or a way to get it.

Special;Spezial;A reduction in consumer cost (usually for a limited time) for items or services rendered.

individuals;personen;A person considered alone, rather than as belonging to a group of people.

professional;profis;A person who belongs to a profession

each;jeweils;(operations) An individual item: the least quantitative unit in a grouping.

The;Die;With a comparative or with more and a verb phrase, establishes a correlation with one or more other such comparatives.

to;bis;Toward a closed, touching or engaging position.

their;ihr;their

given;gegeben;(ditransitive) To move, shift, provide something abstract or concrete to someone or something or somewhere.

World;Welt;(with \

year;jahr;A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).

work;arbeit;(heading) Employment.
