the;das
be;Sein
of;von
and;und
a;ein
to;zu
in;in
he;er
have;verfügen über
it;es
that;das
for;Pro
they;Sie
I;ich
with;mit
as;wie
not;nicht
on;an
she;Sie
at;beim
by;durch
this;Dies
we;wir
you;Sie
do;tun
but;aber
from;von
or;oder
which;die
one;eins
would;möchten
all;alle
will;Wille
there;dort
say;sagen
who;Wer
make;machen
when;Wenn
can;kann
more;mehr
if;wenn
no;Nein
man;Mann
out;aus
other;andere
so;Also
what;was
time;Zeit
up;hoch
go;gehen
about;etwa
than;als
into;hinein
could;könnten
state;Zustand
only;nur
new;Neu
year;Jahr
some;manche
take;nehmen
come;Kommen Sie
these;diese
know;wissen
see;sehen
use;benutzen
get;werden
like;mögen
then;dann
first;Erste
any;beliebig
work;arbeiten
now;jetzt
may;kann
such;eine solche
give;Gib mal
over;über
think;Überlegen
most;die meisten
even;auch
find;finden
day;Tag
also;Auch
after;nach
way;Weg
many;viele
must;muss
look;suchen
before;Vor
great;Großartig
back;zurück
through;durch
long;lang
where;wo
much;viel
should;sollen
well;Gut
people;Menschen
down;Nieder
own;eigen
just;einfach
because;weil
good;gut
each;jeder
those;jene
feel;fühlen
seem;erscheinen
how;wie
high;hoch
too;auch
place;Ort
little;kleine
world;Welt
very;sehr
still;still
nation;Nation
hand;Hand
old;alt
life;Leben
tell;erzählen
write;schreiben
become;werden
here;Hier
show;Show
house;Haus
both;beide
between;zwischen
need;müssen
mean;bedeuten
call;Anruf
develop;sich entwickeln
under;unter
last;zuletzt
right;Rechts
move;Bewegung
thing;Sache
general;Allgemeines
school;Schule
never;noch nie
same;gleich
another;Ein weiterer
begin;Start
while;während
number;Nummer
part;Teil
turn;Dreh dich
real;Real
leave;verlassen
might;Macht
want;wollen
point;Punkt
form;bilden
off;aus
child;Kind
few;wenig
small;klein
since;seit
against;gegen
ask;Fragen
late;spät
home;Heimat
interest;Interesse
large;groß
person;Person
end;Ende
open;offen
public;allgemein
follow;Folgen
during;während
present;Geschenk
without;ohne
again;wieder
hold;halt
govern;regieren
around;um herum
possible;möglich
head;Kopf
consider;Erwägen
word;Wort
program;Programm
problem;Problem
however;jedoch
lead;führen
system;System
set;einstellen
order;bestellen
eye;Auge
plan;planen
run;Lauf
keep;behalten
face;Gesicht
fact;Tatsache
group;Gruppe
play;abspielen
stand;Stand
increase;Zunahme
early;früh
course;Kurs
change;Veränderung
help;Hilfe
line;Linie
city;Stadt
put;setzen
close;nah dran
case;Fall
force;Gewalt
meet;Treffen
once;Einmal
water;Wasser
upon;auf
war;Krieg
build;bauen
hear;hören
light;hell
unite;Vereinen
live;Live
every;jeden
country;Land
bring;bringen
center;Center
let;Lassen
side;Seite
try;Versuchen
provide;zur Verfügung stellen
continue;Fortfahren
name;Name
certain;sicher
power;Energie
pay;Zahlen
result;Ergebnis
question;Frage
study;lernen
woman;Frau
member;Mitglied
until;noch bis
far;weit
night;Nacht
always;stets
service;Service
away;ein Weg
report;Prüfbericht
something;etwas
company;Begleitung
week;Woche
church;Kirche
toward;zu
start;Anfang
social;Sozial
room;Zimmer
figure;Zahl
nature;Natur
though;obwohl
young;Jung
less;weniger
enough;genügend
almost;fast
read;lesen
include;enthalten
president;Präsident
nothing;nichts
yet;noch
better;besser
big;groß
boy;Junge
cost;Kosten
business;Geschäft
value;Wert
second;zweite
why;warum
clear;klar
expect;erwarten von
family;Familie
complete;Komplett
act;Gesetz
sense;Sinn
mind;Geist
experience;Erfahrung
art;Kunst
next;nächste
near;nahe
direct;Direkte
car;Wagen
law;Gesetz
industry;Industrie
important;wichtig
girl;Mädchen
god;Gott
several;mehrere
matter;Angelegenheit
usual;gewöhnlich
rather;eher
per;pro
often;oft
kind;Art
among;unter
white;Weiß
reason;Grund
action;Aktion
return;Rückkehr
foot;Fuß
care;Pflege
simple;einfach
within;innerhalb
love;Liebe
human;Mensch
along;eine lange
appear;erscheinen
doctor;Arzt
believe;glauben
speak;sprechen
active;aktiv
student;Schüler
month;Monat
drive;Antrieb
concern;Anliegen
best;Beste
door;Tür
hope;hoffen
example;Beispiel
inform;informieren
body;Karosserie
ever;immer
least;am wenigsten
probable;wahrscheinlich
understand;verstehe
reach;erreichen
effect;Wirkung
different;unterschiedlich
idea;Idee
whole;ganz
control;Kontrolle
condition;Kondition
field;Bereich
pass;bestehen
fall;fallen
note;Hinweis
special;Besondere
talk;sprechen
particular;besondere
today;heute
measure;messen
walk;gehen
teach;unterrichten
low;niedrig
hour;Stunde
type;Typ
carry;tragen
rate;Bewertung
remain;bleiben übrig
full;voll
street;Straße
easy;leicht
although;obwohl
record;aufzeichnen
sit;sitzen
determine;bestimmen
level;eben
local;lokal
sure;sicher
receive;erhalten
thus;daher
moment;Moment
spirit;Geist
train;Zug
college;Hochschule
religion;Religion
perhaps;womöglich
music;Musik
grow;wachsen
free;kostenlos
cause;weil
serve;Dienen
age;das Alter
book;Buchen
board;Gremium
recent;jüngste
sound;Klang
office;Sekretariat
cut;schneiden
step;Schritt
class;Klasse
TRUE;WAHR
history;Geschichte
position;Position
above;Oben
strong;stark
friend;Freundin
necessary;notwendig
add;hinzufügen
court;Gericht
deal;handeln
tax;MwSt
support;Unterstützung
party;Party
whether;ob
either;entweder
land;Land
material;Material
happen;passieren
education;Bildung
death;Tod
agree;zustimmen
arm;Arm
mother;Mutter
across;über
quite;ziemlich
anything;irgendetwas
town;Stadt
past;Vergangenheit
view;Aussicht
society;Gesellschaft
manage;verwalten
answer;Antworten
break;brechen
organize;organisieren
half;halb
fire;Feuer
lose;verlieren
money;Geld
stop;halt
actual;tatsächlich
already;schon
effort;Anstrengung
wait;warte ab
department;Abteilung
able;fähig
political;politisch.
learn;lernen
voice;Stimme
air;Luft
together;zusammen
shall;soll
cover;Startseite
common;gemeinsam
subject;Gegenstand
draw;zeichnen
short;kurz
wife;Ehefrau
treat;behandeln
limit;Grenze
road;Straße
letter;Buchstabe
color;Farbe
behind;hinter
produce;produzieren
send;senden
term;Begriff
total;gesamt
university;Universität
rise;erheben
century;Jahrhundert
success;Erfolg
minute;Minute
remember;merken
purpose;Zweck
test;Prüfung
fight;Streit
watch;Uhr
situation;Lage
south;Süd
ago;vor
difference;Unterschied
stage;Bühne
father;Vater
table;Tabelle
rest;Rest
bear;Bär
entire;gesamte
market;Markt
prepare;bereiten
explain;erklären
offer;Angebot
plant;Pflanze
charge;aufladen
ground;Boden
west;West
picture;Bild
hard;schwer
front;Vorderseite
lie;Lüge
modern;modern
dark;dunkel
surface;Oberfläche
rule;Regel
regard;betrachten
dance;tanzen
peace;Frieden
observe;beobachten
future;Zukunft
wall;Mauer
farm;Bauernhof
claim;beanspruchen
firm;Feste
operation;Betrieb
further;weiter
pressure;Druck
property;Eigentum
morning;Morgen
amount;Höhe
top;oben
outside;außen
piece;Stück
sometimes;manchmal
beauty;Schönheit
trade;handeln
fear;Furcht
demand;Anforderung
wonder;Wunder
list;aufführen
accept;akzeptieren
judge;beurteilen
paint;Farbe
mile;Meile
soon;bald
responsible;verantwortlich
allow;ermöglichen
secretary;Sekretär
heart;Herz
union;Union
slow;langsam
island;Insel
enter;Eintreten
drink;Getränk
story;Geschichte
experiment;Experiment
stay;bleibe
paper;Papier
space;Platz
apply;sich bewerben
decide;entscheiden
share;Teilen
desire;Verlangen
spend;ausgeben
sign;Unterschrift
therefore;deshalb
various;verschiedene
visit;Besuch
supply;liefern
officer;Offizier
doubt;Zweifel
private;Privatgelände
immediate;sofort
wish;Wunsch
contain;enthalten
feed;Futter
raise;erhöhen
describe;beschreiben
ready;bereit
horse;Pferd
son;Sohn
exist;existieren
north;Norden
suggest;empfehlen
station;Bahnhof
effective;Wirksam
food;Lebensmittel
deep;tief
wide;weit
alone;allein
character;Charakter
english;Englisch
happy;glücklich
critic;Kritiker
unit;Einheit
product;Produkt
respect;respektieren
drop;fallen
nor;Noch
fill;füllen
cold;kalt
represent;vertreten
sudden;plötzlich
basic;Basic
kill;töten
fine;fein
trouble;Problem
mark;markieren
single;Single
press;Drücken Sie
heavy;schwer
attempt;Versuch
origin;Ursprung
standard;Standard
everything;alles
committee;Komitee
moral;Moral-
black;Schwarz
red;rot
bad;Schlecht
earth;Erde
accord;Übereinstimmung
else;anders
mere;bloß
die;sterben
remark;Anmerkung
basis;Basis
except;außer
equal;gleich
east;Ost
event;Veranstaltung
employ;beschäftigen
defense;Verteidigung
smile;Lächeln
river;Fluss
improve;verbessern
game;Spiel
detail;Detail
account;Konto
cent;Cent
sort;Sortieren
reduce;reduzieren
club;Verein
buy;Kaufen
attention;Aufmerksamkeit
ship;Schiff
decision;Entscheidung
wear;tragen
inside;Innerhalb
win;Sieg
suppose;vermuten
ride;Fahrt
operate;arbeiten
realize;realisieren
sale;Verkauf
choose;wählen
park;Park
square;Platz
vote;Abstimmung
price;Preis
district;Bezirk
dead;tot
foreign;ausländisch
window;Fenster
beyond;darüber hinaus
direction;Richtung
strike;schlagen
instead;stattdessen
trial;Gerichtsverhandlung
practice;trainieren
catch;Fang
opportunity;Gelegenheit
likely;wahrscheinlich
recognize;erkenne
permit;erlauben
serious;Ernst
attack;Attacke
floor;umhauen
association;Verband
spring;Frühling
lot;viel
stock;Stock
lack;Mangel
hair;Haar
science;Wissenschaft
relation;Beziehung
profession;Beruf
pattern;Muster
quick;schnell
medical;medizinisch
influence;beeinflussen
occasion;Gelegenheit
machine;Maschine
compare;vergleichen
husband;Ehemann
blue;Blau
international;International
fair;Messe
especially;besonders
indeed;in der Tat
imagine;sich vorstellen
surprise;Überraschung
average;Durchschnitt
official;offiziell
temperature;Temperatur
difficult;schwierig
sing;singen
hit;Schlag
tree;Baum
race;Rennen
police;Polizei
touch;berühren
relative;relativ
throw;Wurf
quality;Qualität
former;ehemalige
pull;ziehen
chance;Chance
prove;beweisen
argue;streiten
settle;siedeln
growth;Wachstum
date;Datum
heat;Wärme
save;speichern
performance;Leistung
count;zählen
production;Produktion
listen;Hör mal zu
main;hauptsächlich
pick;wählen
size;Größe
cool;cool
army;Armee
patient;Geduldig
combine;kombinieren
summer;Sommer
hall;Halle
slight;leicht
command;Befehl
enjoy;Viel Spaß
length;Länge
proper;richtig
express;äußern
health;die Gesundheit
chief;Chef
evening;Abend
store;Geschäft
language;Sprache
degree;Grad
lay;legen
current;Strom
gun;Pistole
dog;Hund
hotel;Hotel
strange;komisch
separate;trennen
boat;Boot
fail;Scheitern
clean;sauber
dress;Kleid
anyone;jeder
gain;gewinnen
pain;Schmerzen
object;Objekt
knowledge;Wissen
depend;abhängen
relate;betreffen
below;unter
dollar;Dollar
advance;Vorauszahlung
shape;Form
arrange;arrangieren
population;Population
yes;ja
sell;verkaufen
mention;erwähnen
dry;trocken
check;überprüfen
poet;Dichter
sleep;Schlaf
join;beitreten
hot;heiß
bed;Bett
electric;elektrisch
dream;Traum
due;fällig
season;Jahreszeit
manner;Benehmen
fit;passen
left;links
progress;Fortschritt
neither;weder
strength;Stärke
notice;Notiz
finish;beenden
opinion;Meinung
bill;Rechnung
western;Western
truth;Wahrheit
wrong;falsch
travel;Reisen
suit;passen
bank;Bank
exact;genau
honor;Ehren
brother;Bruder
quiet;ruhig
marry;heiraten
corner;Ecke
handle;handhaben
danger;Achtung
hospital;Krankenhaus
pool;Schwimmbad
promise;Versprechen
blood;Blut
shoot;schießen
scene;Szene
literature;Literatur
arrive;ankommen
film;Film
base;Base
freedom;Freiheit
bar;Bar
maybe;könnte sein
hang;aufhängen
suffer;leiden
manufacture;Herstellung
frequent;häufig
rock;Felsen
loss;Verlust
burn;brennen
sun;Sonne
audience;Publikum
essential;essentiell
glass;Glas
prevent;verhindern
poem;Gedicht
poor;Arm
inch;Zoll
song;Lied
skill;Fähigkeit
post;Post
popular;Beliebt
radio;Radio
animal;Tier
conscious;bewusst
worth;Wert
eat;Essen
election;Wahl
faith;Vertrauen
wave;Welle
murder;Mord
model;Modell
forget;vergessen
extend;erweitern
edge;Kante
distance;Distanz
memory;Erinnerung
recommend;empfehlen
division;Teilung
staff;Mitarbeiter
leg;Bein
discussion;Diskussion
address;die Anschrift
fly;Fliege
dependent;abhängig
ball;Ball
shake;Shake
frame;Rahmen
extreme;extrem
engineer;Techniker
thick;dick
comfort;Komfort
latter;Letztere
camp;Lager
oil;Öl
discover;entdecken
examine;untersuchen
difficulty;Schwierigkeit
tooth;Zahn
middle;Mitte
choice;Auswahl
refer;verweisen
enemy;Feind
practical;praktisch
marriage;Ehe
bridge;Brücke
declare;erklären
lady;Dame
cross;überqueren
daily;Täglich
afternoon;Nachmittag
attend;teilnehmen
director;Direktor
balance;Gleichgewicht
wash;waschen
capital;Hauptstadt
speed;Geschwindigkeit
block;Block
citizen;Bürger
mouth;Mund
hill;Hügel
green;Grün
please;bitte
motor;Motor-
agency;Agentur
encourage;ermutigen
governor;Gouverneur
worry;Sorge
affair;Affäre
shoulder;Schulter
bright;hell
mass;Masse
sample;Probe
pretty;ziemlich
repeat;wiederholen
roll;rollen
push;drücken
trip;Reise
council;Rat
clothe;kleiden
parent;Elternteil
forward;nach vorne
sharp;Scharf
straight;gerade
gas;Gas
weight;Gewicht
discuss;diskutieren
fix;Fix
load;Belastung
master;Meister
whatever;was auch immer
round;runden
rapid;schnell
laugh;Lachen
finger;Finger
spot;Stelle
propose;vorschlagen
shop;Einkaufen
broad;breit
replace;ersetzen
reply;Antwort
extent;Ausmaß
lock;sperren
employee;Mitarbeiter
ahead;voaus
sight;Sicht
spread;Verbreitung
wind;Wind
approve;genehmigen
destroy;zerstören
none;keiner
