slippery as an eel;aalglatt
from time to time, now and then;ab und zu
deformed, abnormal;abartig
demolition, reduction in staff;Abbau (m.)
turn;abbiegen, einbiegen
illustration;Abbildung (f., -en)
abort, break off, cancel, break up;abbrechen
burn down (large object);abbrennen, niederbrennen
ruined;abbruchreit
impression, copy, print, mold;Abdruck (m., -e)
ebb, abate;abebben
adventure;Abendteuer (n., --)
superstitious;abergläubisch
once again, once more;abermals
litter, rubbish, waste;Abfall (m., ¨-e)
drop down, drop off, secede, fall off;abfallen
resign o.s. to, come to terms with, accept;abfinden sich mit
flatten out;abflachen
runoff, drain, outflow;Abfluss (m.)
royalties, fees, duties, taxes;Abgaben (pl.)
collusive;abgekartet
member of parliament, assemblyman;Abgeordnete (m., --)
ragged, seedy, incoherent;abgerissen
aside from, apart from, barring, except for;abgesehen von
stale;abgestanden
indifferent, callous, numb;abgestumpft
drifted;abgetrieben
take pleasure in;abgewinnen etwas
graze, scour, comb;abgrasen
precipice, abyss;Abgrund (m., ¨-e)
check off, tally;abhaken
deal with, treat (academically);abhandeln
treatise, tract, essay;Abhandlung (f., -en)
slope, incline (n.);Abhang (m., ¨-e)
dependent;abhängig
chop or cut off, beat it;abhauen
lift off (plane), withdraw money;abheben
file (v.);abheften
pick up;abholen
filter, clear, clarify (v.);abklären
treaty, agreement, contract;Abkommen (m., --)
shorten, abbreviate (simplify, clarify);abkürzen
shortcut, abbreviation;Abkürzung (f., -en)
unload, dump, offload;abladen
sequence, lapse, flow, procedure;Ablauf (m.)
drain, gutter;Ablaufrinne (f., -n)
file, disrobe, deposit, abandon, discard;ablegen
refuse, decline;ablehnen
amuse, distract, refract;ablenken
relieve of duty, take the place of;ablösen
cajole, beg, nag, coax;abluchsen
bargain, deal, arrangement;Abmachung (f., -en)
give notice of departure;abmelden
travail, struggle, labor;abmühen sich
struggling;abmühend
take down, wane, answer phone, lose weight;abnehmen
subscriber;Abonnent (m., --)
subscribe;abonnieren
reckon with, settle accounts with;abrechnen
tear off, pull off, knock down;abreißen
bolt, bar, seal off;abriegeln
available, can be called up;abrufbar
cancellation, refusal;Absage (f., -n)
refuse, decline an invitation;absagen
abolish, repeal, suppress;abschaffen
abominable, repulsive;abscheulich
send off, dispatch, mail;abschicken
departure, termination;Abschied (m., -e)
massacre, butcher;abschlachten
tow, haul off;abschleppen
consummate, close, finalize, transact;abschließen
conclusion, end, close, transaction;Abschluss (m., ¨-e)
leg, segment, section, apron, chapter;Abschnitt (m., -e)
deter, scare, chill, discourage;abschrecken
chilling effect;Abschreckwirkung (f.)
digress;abschweifen
downturn, downswing;Abschwung (m., ¨-e)
bless something, give one's blessing to;absegnen
foresee;absehen
abstain from, desist from, refrain from;absehen von
aloof, apart, aside;abseits
set down, depose, dismiss;absetzen
intention, purpose, aim;Absicht (f., -en)
purposely, intentionally, knowingly;absichtlich
odd, peculiar;absonderlich
dissociate, detach, sequester;absondern
secession, spin-off, separation;Abspaltung (f., -en)
seal off, cordon off;absperren
wash up, rinse off;abspülen
descend from, originate from;abstammen
descend, dismount, scale down;absteigen
put down, turn off;abstellen
match, coordinate, harmonize, tune;abstimmen
ballot, poll, reconciliation;Abstimmung (f., -en)
push off, kick off;abstoßen
disclaim, dispute, deny;abstreiten
deaden, numb, blunt, cauterize;abstumpfen
crash;abstürzen
department;Abteilung (f., -en)
department manager;Abteilungsleiter (m., --)
drive off, get an abortion;abtreiben
sever, separate, detach;abtrennen
dry off (body or dishes only);abtrocknen
dismiss, shrug off, discount;abtun
sewage, effluent, waste water;Abwasser (n., ¨-e)
sanitation;Abwassersystem (n., -e)
alternate, vary, divert (v.);abwechseln
ward off, parry;abwehren
deviate from, differ;abweichen
rebuff, turn away;abweisen
avertible, preventable, avoidable;abwendbar
avert, prevent;abwenden
scuff, wear away;abwetzen
stall (auto);abwürgen
retreat, departure, photocopy (n.);Abzug (m., ¨-e)
Good grief!;Ach du mein Güte! 
I see!;Ach so! 
hold in esteem, value, prize;achten
ban, outlaw, proscribe;ächten
astern, aft;achtern 
inattentive, negligent;achtlos
attentive, careful;achtsam
esteem, regard;Achtung (f.)
groan;ächzen
farmland, field;Acker (m., ¨-)
add;addieren
gentry, nobility, aristocracy;Adel (m.)
act;agieren
resemble;ähneln
foresee, have a hunch or presentiment;ahnen
similar;ähnlich
naïve, innocent, unsuspecting;ahnungslos
maple tree;Ahornbaum (m., ¨-e)
nude (painting), act (play) (n.);Akt (m., -e)
share, stock (equity);Aktie (f., -n)
stockholder, shareholder;Aktionär (m., -e)
assets;Aktiva (pl.)
topical;aktuell
acute;akut
accent (n.);Akzent (m.)
accept;akzeptieren
alum, alumina;Alaun (n.)
silly, foolish, fool around;albern
nightmare;Albtraum (m., ¨-e)
universe;All (n.)
everyone;alle zusammen
in all seriousness;allen Ernstes
of course, nevertheless;allerdings
all kinds of, all sorts of, a lot, many;allerhand
miscellaneous, various;allerlei
ever-present, ubiquitous;allgegenwärtig
generally, broadly, widely, universally;allgemein
ally, team with (v.);allieren
omnipotent, almighty;allmächtig
by degrees, gradual;allmählich
all-round, universal;allseitig
when (past tense);als
as if;als ob
age, old age, epoch (n.);Alter (n.)
ordinary customary;Alterwelts…
at the;am
marginally, on the brink or verge of;am Rande von
homicidal maniac, person running amok;Amokläufer (m., --)
traffic light, hanging light or lantern;Ampel (f., -n)
office, post;Amt (n., ¨-en)
term of office;Amtsdauer (f.)
public officer or official;Amtsträger (m., --)
time in office, term;Amtzeit (f.)
amuse, entertain;amüsieren
make up with s.o., pick a quarrel with s.o.;anbändeln mit
cultivation, crop growing;Anbau (m.)
area under cultivation, acreage, crop land;Anbaufläche (f.)
adore, worship;anbeten
considering, given, with respect to, regarding;Anbetracht, in
offer, proffer;anbieten
offer itself;anbieten sich
devout, devoted;andächtig
continue, last, perpetuate;andauern
otherwise, or else;andernfalls
differently;anders
elsewhere;anderswo, anderswohin
alteration, amendment, change;Änderung (f., -en)
indicate, intimate, suggest, imply;andeuten
rush, congestion;Andrang (m., ¨-e)
annex, adopt, appropriate, usurp;aneignen sich
disgust, sicken;anekeln
recognized, accepted;anerkannt
acknowledge, recognize;anerkennen
inflame, kindle;anfachen
attack;anfallen
beginning, start, commencement;Anfang (m., ¨-e)
beginner;Anfänger (m., --)
initially, primarily;anfänglich
handle, touch, take hold of;anfassen
animosity, hostility;Anfeindung (f., -en)
make, dispense (copy or receipt);anfertigen
root, encourage, cheer;anfeuern
request, requisition, order, ask for;anfordern
requisition, claim, order;Anforderung (f., -en)
befriend;anfreunden sich
allege, adduce, argue, cite examples;anführen
declaration, statement;Angabe (f., -n)
declare, state;angeben
alleged, ostensible, so-called;angeblich
congenital;angeboren
offer, bid, supply (n.);Angebot (n., -e)
supply and demand;Angebot und Nachfrage
appropriate, fitting;angebracht
received (adj.);angegangen
accumulated;angehäuft
belong to, associate with (an org.);angehören
next of kin, near relative;Angehörige (m., -n)
matter, concern, affair;Angelegenheit (f., -en)
fish, angle;angeln
defining moment, turning point, central issue;Angelpunkt (m.)
adequate, suitable, fit, proportionate;angemessen
pleasant;angenehm
supposed, assumed;angenommen
suppose or assume the following …;angenommen
accumulated, accrued, collected;angesammelt
esteemed, respected, distinguished, prestigious;angesehen
face, countenance;Angesicht (n., -er)
in the light of, in the face of;angesichts
employee;Angestellte (m., -n)
exerted, strained, tense;angestrengt
applied, practical;angewandt
disgusted, sickened;angewidert
rely, depend on;angewiesen sein auf
attack, assault (n.);Angriff (m., -e)
stop, prolong, persist;anhalten
sustained, prolonged, continuing, ongoing;anhaltend
clue;Anhaltspunkt (m., -e)
supporter, follower;Anhänger (m., --)
lift, jack up, raise;anheben
listen to;anhören
instigate, egg on;animieren
accusation;Anklage (f., -n)
accuse;anklagen
accuser, prosecutor, plaintiff;Ankläger (m., --)
arrive;ankommen (dativ in, akk. auf)
make one sick;ankotzen
announce, give notice of, proclaim;ankündigen
arrival (n.);Ankunft (f.)
investment, plant, enclosure;Anlage (f., -n)
arrive, concern;anlangen
occasion, cause, reason;Anlass (m., ¨-e)
reason, cause for;Anlass zu (m.)
cause for concern;Anlass zur Sorge
on the occasion of, in celebration of;anlässlich
berth, dock, apply, dispose;anlegen
investor;Anleger (m., --)
pier, dock;Anlegestelle (f.)
train, instruct;anleiten
lure, attract, draw, allure;anlocken
presume, assume, arrogate;anmassen
arrogance, pretension, insolence;Anmaßung (f., -en)
announce, make an appointment;anmelden
remark, annotation, footnote;Anmerkung (f., -en)
grace, charm, sweetness (n.);Anmut (f.)
graceful, charming;anmutig
approach, draw near, approximate;annähern
adequate;annehmbar
assume, presume, accept;annehmen
amenity;Annehmlichkeit (f., -en)
adapt, fit in;anpassen sich
impact on;Anprall gegen (m.)
try on;anprobieren
address (as in speaking);anreden
suggest, stimulate;anregen
stimulative, inspiring, suggestive;anregend
suggestion;Anregung (f., -en)
incentive, stimulation, appeal, attraction;Anreiz (m.)
answering machine, voice mail;Anrufbeantworter (m.)
call by phone, phone;anrufen
domiciled, located, based in, resident to;ansässig in
look at, view, opine;anschauen
poster, placard, assassination attempt;Anschlag (m., ¨-e)
strike, touch (keyboard);anschlagen
join club, fasten lock;anschließen
afterwards, subsequently;anschließend
buckle on, fasten seatbelt;anschnalen
see, face, behold, esteem;ansehen
watch;ansehen sich
good looking, handsome, comely, respectable;ansehnlich
strain, exert, brace, tense;anspannen
debt to capital ratio;Anspannungskoeffizient (m.)
claim, title, pretension (n.);Anspruch (m., ¨-e)
sophisticated, demanding;anspruchsvoll
respectable, fair, civil, decent;anständig
chaperon;Anstandsdame (f., -n)
gaze at, stare at;anstarren
instead of;anstatt
pin on, infect, set fire to;anstecken
rise, ascend, increase;ansteigen
instead of;anstelle
line up, queue, appoint to a post;anstellen
able, skillful, adroit;anstellig
